10.3962|1.02494|-104.009
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|
|230|10.1151|1.02112|-104.442|-3.63256|-0.0493815|-5.58839|
|231|10.1115|1.02107|-104.447|-3.66349|-0.0498019|-5.63597|
|232|10.1078|1.02102|-104.453|-3.69454|-0.050224|-5.68373|
|233|10.1041|1.02097|-104.459|-3.72571|-0.0506477|-5.73169|
|234|10.1003|1.02092|-104.464|-3.757|-0.0510731|-5.77982|
|235|10.0966|1.02087|-104.47|-3.78841|-0.0515001|-5.82815|
|236|10.0928|1.02082|-104.476|-3.81994|-0.0519288|-5.87666|
|237|10.0889|1.02077|-104.482|-3.8516|-0.0523591|-5.92536|
|238|10.0851|1.02072|-104.488|-3.88337|-0.052791|-5.97424|
|239|10.0812|1.02066|-104.494|-3.91527|-0.0532246|-6.02331|
|240|10.0772|1.02061|-104.5|-3.94728|-0.0536599|-6.07256|
|241|10.0733|1.02056|-104.506|-3.97942|-0.0540967|-6.122|
|242|10.0693|1.0205|-104.512|-4.01168|-0.0545352|-6.17163|
|243|10.0652|1.02045|-104.518|-4.04405|-0.0549753|-6.22143|
|244|10.0612|1.02039|-104.525|-4.07655|-0.0554171|-6.27142|
|245|10.0571|1.02034|-104.531|-4.10916|-0.0558604|-6.3216|
|246|10.053|1.02028|-104.537|-4.1419|-0.0563054|-6.37196|
|247|10.0488|1.02022|-104.544|-4.17475|-0.056752|-6.4225|
|248|10.0446|1.02017|-104.55|-4.20772|-0.0572003|-6.47323|
|249|10.0404|1.02011|-104.557|-4.24081|-0.0576501|-6.52413|
|250|10.0361|1.02005|-104.563|-4.27402|-0.0581016|-6.57522|
|251|10.0318|1.01999|-104.57|-4.30735|-0.0585546|-6.6265|
|252|10.0275|1.01993|-104.576|-4.3408|-0.0590093|-6.67795|
|253|10.0232|1.01987|-104.583|-4.37436|-0.0594656|-6.72959|
|254|10.0188|1.01981|-104.59|-4.40804|-0.0599235|-6.7814|
|255|10.0143|1.01975|-104.597|-4.44184|-0.060383|-6.8334|
|256|10.0099|1.01969|-104.604|-4.47576|-0.060844|-6.88558|
|257|10.0054|1.01963|-104.611|-4.5098|-0.0613067|-6.93794|
|258|10.0009|1.01957|-104.617|-4.54395|-0.061771|-6.99048|
|259|9.99631|1.01951|-104.624|-4.57822|-0.0622369|-7.04321|
|260|9.99171|1.01945|-104.632|-4.61261|-0.0627043|-7.09611|
|261|9.98708|1.01938|-104.639|-4.64711|-0.0631734|-7.14919|
|262|9.98242|1.01932|-104.646|-4.68173|-0.063644|-7.20245|
|263|9.97772|1.01926|-104.653|-4.71646|-0.0641162|-7.25588|
|264|9.97299|1.01919|-104.66|-4.75132|-0.06459|-7.3095|
|265|9.96822|1.01913|-104.668|-4.78629|-0.0650653|-7.3633|
|266|9.96341|1.01906|-104.675|-4.82137|-0.0655423|-7.41727|
