9.79744 0.788221 -99.1857
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|107|9.79178|0.788161|-99.1948|-0.793807|-0.0083652|-1.28217|-47709.1|-96815.6|-15406.9|4335.34|10136.6|579.452|
|108|9.79162|0.78816|-99.1951|-0.808688|-0.00852202|-1.30621|-47708.2|-96813.6|-15406.7|4416.58|10326.4|590.324|
|109|9.79145|0.788158|-99.1953|-0.823707|-0.00868029|-1.33047|-47707.3|-96811.5|-15406.6|4498.58|10518|601.297|
|110|9.79129|0.788156|-99.1956|-0.838863|-0.00884|-1.35495|-47706.4|-96809.4|-15406.5|4581.32|10711.4|612.371|
|111|9.79112|0.788154|-99.1959|-0.854157|-0.00900117|-1.37965|-47705.5|-96807.2|-15406.4|4664.81|10906.5|623.545|
|112|9.79095|0.788153|-99.1962|-0.869588|-0.00916378|-1.40458|-47704.5|-96805|-15406.3|4749.05|11103.3|634.821|
|113|9.79077|0.788151|-99.1964|-0.885156|-0.00932785|-1.42972|-47703.6|-96802.8|-15406.1|4834.04|11301.9|646.197|
|114|9.79059|0.788149|-99.1967|-0.900862|-0.00949336|-1.45509|-47702.6|-96800.5|-15406|4919.77|11502.3|657.674|
|115|9.79041|0.788147|-99.197|-0.916705|-0.00966031|-1.48068|-47701.6|-96798.2|-15405.9|5006.26|11704.3|669.252|
|116|9.79022|0.788145|-99.1973|-0.932686|-0.00982871|-1.50649|-47700.6|-96795.8|-15405.7|5093.49|11908.2|680.931|
|117|9.79004|0.788143|-99.1976|-0.948803|-0.00999856|-1.53253|-47699.5|-96793.4|-15405.6|5181.47|12113.7|692.71|
|118|9.78985|0.788141|-99.1979|-0.965058|-0.0101699|-1.55878|-47698.5|-96791|-15405.5|5270.2|12321|704.591|
|119|9.78965|0.788139|-99.1983|-0.981451|-0.0103426|-1.58526|-47697.4|-96788.5|-15405.3|5359.67|12530.1|716.572|
|120|9.78945|0.788137|-99.1986|-0.99798|-0.0105168|-1.61196|-47696.4|-96785.9|-15405.2|5449.89|12740.8|728.654|
|121|9.78925|0.788135|-99.1989|-1.01465|-0.0106924|-1.63888|-47695.3|-96783.4|-15405|5540.86|12953.4|740.837|
|122|9.78905|0.788133|-99.1992|-1.03145|-0.0108695|-1.66602|-47694.1|-96780.8|-15404.9|5632.57|13167.6|753.121|
|123|9.78884|0.78813|-99.1996|-1.04839|-0.011048|-1.69338|-47693|-96778.1|-15404.7|5725.03|13383.6|765.505|
|124|9.78863|0.788128|-99.1999|-1.06547|-0.011228|-1.72097|-47691.9|-96775.4|-15404.6|5818.24|13601.3|777.991|
|125|9.78841|0.788126|-99.2003|-1.08268|-0.0114094|-1.74877|-47690.7|-96772.7|-15404.4|5912.19|13820.8|790.577|
|126|9.78819|0.788124|-99.2006|-1.10003|-0.0115922|-1.7768|-47689.5|-96769.9|-15404.2|6006.89|14042|803.264|
|127|9.78797|0.788121|-99.201|-1.11752|-0.0117765|-1.80505|-47688.3|-96767.1|-15404.1|6102.33|14264.9|816.052|
|128|9.78775|0.788119|-99.2013|-1.13515|-0.0119623|-1.83352|-47687|-96764.2|-15403.9|6198.52|14489.6|828.94|
|129|9.78752|0.788117|-99.2017|-1.15291|-0.0121495|-1.86221|-47685.8|-96761.3|-15403.8|6295.45|14716|841.93|
|130|9.78729|0.788114|-99.2021|-1.17081|-0.0123381|-1.89112|-47684.5|-96758.3|-15403.6|6393.13|14944.1|855.02|
|131|9.78705|0.788112|-99.2025|-1.18885|-0.0125282|-1.92025|-47683.2|-96755.3|-15403.4|6491.55|15174|868.211|
|132|9.78681|0.788109|-99.2028|-1.20702|-0.0127197|-1.9496|-47681.9|-96752.2|-15403.2|6590.71|15405.6|881.503|
|133|9.78657|0.788107|-99.2032|-1.22533|-0.0129126|-1.97918|-47680.6|-96749.1|-15403.1|6690.62|15638.9|894.896|
|134|9.78632|0.788104|-99.2036|-1.24378|-0.013107|-2.00897|-47679.3|-96746|-15402.9|6791.27|15874|908.39|
|135|9.78607|0.788101|-99.204|-1.26236|-0.0133028|-2.03899|-47677.9|-96742.8|-15402.7|6892.67|16110.7|921.984|
|136|9.78582|0.788099|-99.2044|-1.28108|-0.0135001|-2.06923|-47676.5|-96739.5|-15402.5|6994.81|16349.3|935.679|
|137|9.78556|0.788096|-99.2049|-1.29994|-0.0136988|-2.09968|-47675.1|-96736.2|-15402.3|7097.69|16589.5|949.475|
|138|9.7853|0.788093|-99.2053|-1.31893|-0.013899|-2.13036|-47673.7|-96732.9|-15402.1|7201.32|16831.4|963.372|
|139|9.78503|0.78809|-99.2057|-1.33806|-0.0141006|-2.16126|-47672.2|-96729.5|-15401.9|7305.68|17075.1|977.37|
|140|9.78476|0.788087|-99.2062|-1.35733|-0.0143036|-2.19238|-47670.7|-96726.1|-15401.7|7410.79|17320.5|991.468|
|141|9.78449|0.788085|-99.2066|-1.37673|-0.0145081|-2.22372|-47669.2|-96722.6|-15401.5|7516.64|17567.6|1005.67|
|142|9.78421|0.788082|-99.207|-1.39627|-0.014714|-2.25528|-47667.7|-96719|-15401.3|7623.24|17816.5|1019.97|
|143|9.78393|0.788079|-99.2075|-1.41594|-0.0149213|-2.28706|-47666.2|-96715.4|-15401.1|7730.57|18067.1|1034.37|
|144|9.78364|0.788076|-99.208|-1.43576|-0.0151301|-2.31906|-47664.6|-96711.8|-15400.9|7838.64|18319.3|1048.87|
|145|9.78335|0.788073|-99.2084|-1.4557|-0.0153403|-2.35128|-47663.1|-96708.1|-15400.7|7947.46|18573.3|1063.47|
|146|9.78306|0.78807|-99.2089|-1.47579|-0.015552|-2.38372|-47661.5|-96704.4|-15400.5|8057.01|18829.1|1078.18|
|147|9.78276|0.788066|-99.2094|-1.49601|-0.0157651|-2.41639|-47659.8|-96700.6|-15400.3|8167.31|19086.5|1092.98|
|148|9.78246|0.788063|-99.2099|-1.51637|-0.0159796|-2.44927|-47658.2|-96696.7|-15400.1|8278.34|19345.7|1107.89|
|149|9.78216|0.78806|-99.2104|-1.53686|-0.0161956|-2.48237|-47656.5|-96692.8|-15399.8|8390.12|19606.5|1122.89|
|150|9.78185|0.788057|-99.2109|-1.55749|-0.016413|-2.51569|-47654.8|-96688.9|-15399.6|8502.63|19869.1|1138|
|151|9.78153|0.788053|-99.2114|-1.57826|-0.0166318|-2.54923|-47653.1|-96684.9|-15399.4|8615.88|20133.4|1153.21|
|152|9.78122|0.78805|-99.2119|-1.59916|-0.0168521|-2.583|-47651.4|-96680.8|-15399.2|8729.88|20399.4|1168.51|
|153|9.78089|0.788047|-99.2124|-1.6202|-0.0170738|-2.61698|-47649.6|-96676.7|-15398.9|8844.6|20667.1|1183.92|
|154|9.78057|0.788043|-99.2129|-1.64137|-0.0172969|-2.65118|-47647.8|-96672.6|-15398.7|8960.07|20936.6|1199.43|
|155|9.78024|0.78804|-99.2135|-1.66268|-0.0175215|-2.6856|-47646|-96668.4|-15398.4|9076.28|21207.7|1215.04|
|156|9.7799|0.788036|-99.214|-1.68413|-0.0177475|-2.72024|-47644.2|-96664.1|-15398.2|9193.22|21480.6|1230.76|
|157|9.77956|0.788033|-99.2145|-1.70571|-0.0179749|-2.7551|-47642.4|-96659.8|-15397.9|9310.9|21755.1|1246.57|
|158|9.77922|0.788029|-99.2151|-1.72743|-0.0182038|-2.79018|-47640.5|-96655.4|-15397.7|9429.32|22031.4|1262.48|
|159|9.77887|0.788025|-99.2157|-1.74928|-0.0184341|-2.82548|-47638.6|-96651|-15397.4|9548.47|22309.3|1278.5|
|160|9.77852|0.788022|-99.2162|-1.77127|-0.0186658|-2.861|-47636.7|-96646.5|-15397.2|9668.36|22589|1294.61|
|161|9.77816|0.788018|-99.2168|-1.7934|-0.018899|-2.89673|-47634.7|-96641.9|-15396.9|9788.98|22870.4|1310.83|
|162|9.7778|0.788014|-99.2174|-1.81566|-0.0191336|-2.93269|-47632.8|-96637.3|-15396.7|9910.34|23153.4|1327.15|
