-65 0.000164428 -220
|Index|TCPP|TCVP|
|371|0.00221489|0.121104|
|372|0.00223921|0.122098|
|373|0.00226373|0.123097|
|374|0.00228845|0.124102|
|375|0.00231337|0.125112|
|376|0.00233849|0.126127|
|377|0.00236382|0.127148|
|378|0.00238935|0.128175|
|379|0.00241509|0.129206|
|380|0.00244103|0.130244|
|381|0.00246719|0.131286|
|382|0.00249355|0.132335|
|383|0.00252012|0.133389|
|384|0.0025469|0.134448|
|385|0.0025739|0.135513|
|386|0.00260111|0.136583|
|387|0.00262853|0.137659|
|388|0.00265617|0.138741|
|389|0.00268403|0.139828|
|390|0.00271211|0.140921|
|391|0.0027404|0.14202|
|392|0.00276891|0.143124|
|393|0.00279765|0.144234|
|394|0.00282661|0.14535|
|395|0.00285579|0.146471|
|396|0.0028852|0.147598|
|397|0.00291483|0.14873|
|398|0.00294469|0.149869|
|399|0.00297478|0.151013|
|400|0.00300509|0.152163|
|401|0.00303564|0.153319|
|402|0.00306642|0.15448|
|403|0.00309744|0.155648|
|404|0.00312868|0.156821|
|405|0.00316016|0.158|
|406|0.00319188|0.159184|
|407|0.00322384|0.160375|
|408|0.00325603|0.161572|
|409|0.00328847|0.162774|
|410|0.00332114|0.163983|
|411|0.00335406|0.165197|
|412|0.00338722|0.166417|
|413|0.00342063|0.167643|
|414|0.00345428|0.168875|
|415|0.00348818|0.170113|
|416|0.00352233|0.171357|
|417|0.00355672|0.172607|
|418|0.00359137|0.173864|
|419|0.00362627|0.175126|
|420|0.00366142|0.176394|
|421|0.00369683|0.177668|
|422|0.00373249|0.178948|
|423|0.00376841|0.180235|
|424|0.00380458|0.181527|
|425|0.00384102|0.182826|
|426|0.00387771|0.18413|
|427|0.00391467|0.185441|
|428|0.00395189|0.186758|
|429|0.00398937|0.188081|
|430|0.00402712|0.189411|
|431|0.00406514|0.190746|
|432|0.00410342|0.192088|
|433|0.00414197|0.193436|
|434|0.0041808|0.19479|
|435|0.00421989|0.196151|
|436|0.00425926|0.197517|
|437|0.0042989|0.19889|
|438|0.00433881|0.20027|
|439|0.00437901|0.201655|
|440|0.00441948|0.203047|
|441|0.00446022|0.204445|
|442|0.00450125|0.20585|
|443|0.00454256|0.207261|
|444|0.00458416|0.208678|
|445|0.00462604|0.210102|
|446|0.0046682|0.211532|
|447|0.00471065|0.212968|
|448|0.00475339|0.214411|
|449|0.00479641|0.215861|
|450|0.00483973|0.217317|
|451|0.00488334|0.218779|
|452|0.00492724|0.220248|
|453|0.00497144|0.221723|
|454|0.00501593|0.223205|
|455|0.00506072|0.224693|
|456|0.00510581|0.226188|
|457|0.0051512|0.227689|
|458|0.00519689|0.229197|
|459|0.00524288|0.230712|
|460|0.00528917|0.232233|
|461|0.00533577|0.233761|
|462|0.00538268|0.235295|
|463|0.00542989|0.236836|
|464|0.00547741|0.238383|
|465|0.00552524|0.239938|
|466|0.00557339|0.241499|
|467|0.00562184|0.243066|
|468|0.00567061|0.244641|
|469|0.0057197|0.246222|
|470|0.0057691|0.247809|
|471|0.00581883|0.249404|
|472|0.00586887|0.251005|
