-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|174|112304|67934.5|153048|107916|-50032.9|240949|
|175|113401|67464.5|155461|111510|-43948.6|241656|
|176|114534|67055.5|157880|115005|-37873.9|242231|
|177|115701|66707|160305|118374|-31833.7|242642|
|178|116901|66418.6|162733|121613|-25840.2|242896|
|179|118133|66190|165162|124721|-19904.8|242999|
|180|119395|66020.3|167592|127696|-14038.8|242957|
|181|120686|65908.9|170021|130537|-8252.64|242777|
|182|122005|65854.9|172447|133244|-2556.38|242465|
|183|123351|65857.5|174870|135815|3040.52|242027|
|184|124721|65915.4|177287|138251|8529.18|241470|
|185|126115|66027.7|179699|140553|13901.3|240801|
|186|127532|66193|182103|142720|19149.3|240026|
|187|128969|66410.2|184499|144754|24266|239150|
|188|130426|66677.9|186886|146656|29245|238182|
|189|131902|66994.6|189262|148428|34080.5|237126|
|190|133394|67359|191628|150070|38767|235989|
|191|134903|67769.4|193982|151585|43299.9|234777|
|192|136426|68224.5|196323|152976|47675|233495|
|193|137962|68722.4|198652|154243|51888.7|232149|
|194|139510|69261.7|200966|155391|55937.8|230746|
|195|141069|69840.6|203266|156420|59819.8|229289|
|196|142638|70457.5|205552|157335|63532.4|227785|
|197|144216|71110.7|207822|158138|67074|226238|
|198|145801|71798.4|210076|158831|70443.1|224654|
|199|147392|72519|212315|159418|73638.9|223036|
|200|148989|73270.6|214537|159901|76660.9|221390|
|201|150590|74051.6|216743|160284|79508.7|219719|
|202|152194|74860.2|218931|160570|82182.5|218029|
|203|153801|75694.7|221103|160762|84682.7|216322|
|204|155409|76553.3|223258|160862|87009.7|214603|
|205|157018|77434.3|225395|160875|89164.5|212875|
|206|158626|78336|227515|160802|91148.1|211141|
|207|160233|79256.8|229618|160652|92988.2|209395|
|208|161839|80195.4|231703|160432|94720.9|207622|
|209|163442|81150.8|233770|160142|96344.4|205820|
|210|165041|82121.9|235819|159779|97856.9|203990|
|211|166637|83107.6|237850|159344|99256.3|202128|
|212|168228|84106.7|239862|158834|100541|200236|
|213|169814|85118|241854|158249|101709|198310|
|214|171393|86140.5|243828|157587|102758|196350|
|215|172965|87172.8|245781|156847|103688|194355|
|216|174529|88213.8|247715|156029|104495|192323|
