|Index|pVelocitySplineBuffer|pPositionSplineBuffer
|350|11.0432|0.996651
|351|11.1305|1.00774
|352|11.2182|1.01891
|353|11.3062|1.03017
|354|11.3947|1.04152
|355|11.4835|1.05296
|356|11.5727|1.06449
|357|11.6623|1.07611
|358|11.7522|1.08782
|359|11.8425|1.09961
|360|11.9333|1.1115
|361|12.0243|1.12348
|362|12.1158|1.13555
|363|12.2077|1.14771
|364|12.2999|1.15997
|365|12.3925|1.17231
|366|12.4854|1.18475
|367|12.5788|1.19728
|368|12.6725|1.20991
|369|12.7666|1.22263
|370|12.8611|1.23544
|371|12.9559|1.24835
|372|13.0512|1.26135
|373|13.1468|1.27445
|374|13.2427|1.28765
|375|13.3391|1.30094
|376|13.4358|1.31433
|377|13.5329|1.32781
|378|13.6303|1.34139
|379|13.7281|1.35507
|380|13.8263|1.36885
|381|13.9249|1.38272
|382|14.0238|1.3967
|383|14.1231|1.41077
|384|14.2228|1.42494
|385|14.3228|1.43922
|386|14.4232|1.45359
|387|14.524|1.46806
|388|14.6251|1.48264
|389|14.7266|1.49731
|390|14.8285|1.51209
|391|14.9307|1.52697
|392|15.0333|1.54195
|393|15.1363|1.55704
|394|15.2396|1.57223
|395|15.3433|1.58752
|396|15.4473|1.60291
|397|15.5517|1.61841
|398|15.6565|1.63402
|399|15.7616|1.64973
|400|15.8671|1.66554
|401|15.9729|1.68146
|402|16.0791|1.69749
|403|16.1857|1.71362
|404|16.2926|1.72986
|405|16.3999|1.7462
|406|16.5075|1.76266
|407|16.6154|1.77922
|408|16.7238|1.79589
|409|16.8324|1.81267
|410|16.9415|1.82955
|411|17.0509|1.84655
|412|17.1606|1.86365
|413|17.2707|1.88087
|414|17.3811|1.8982
|415|17.4919|1.91563
|416|17.603|1.93318
|417|17.7145|1.95084
|418|17.8263|1.96861
|419|17.9384|1.98649
|420|18.0509|2.00449
|421|18.1638|2.02259
|422|18.277|2.04081
|423|18.3905|2.05915
|424|18.5044|2.07759
|425|18.6186|2.09616
|426|18.7331|2.11483
|427|18.848|2.13362
|428|18.9633|2.15253
|429|19.0788|2.17155
|430|19.1947|2.19069
|431|19.3109|2.20994
|432|19.4275|2.22931
|433|19.5444|2.24879
|434|19.6616|2.2684
|435|19.7792|2.28812
|436|19.8971|2.30796
|437|20.0153|2.32791
|438|20.1338|2.34799
|439|20.2527|2.36818
|440|20.3719|2.38849
|441|20.4914|2.40892
|442|20.6113|2.42947
|443|20.7314|2.45015
|444|20.8519|2.47094
|445|20.9727|2.49185
|446|21.0939|2.51288
|447|21.2153|2.53404
|448|21.3371|2.55531
|449|21.4592|2.57671
|450|21.5816|2.59823
|451|21.7043|2.61988
|452|21.8273|2.64164
|453|21.9506|2.66353
|454|22.0743|2.68554
|455|22.1982|2.70768
|456|22.3225|2.72994
|457|22.4471|2.75232
|458|22.572|2.77483
|459|22.6972|2.79747
|460|22.8227|2.82023
|461|22.9485|2.84311
|462|23.0745|2.86612
|463|23.2009|2.88926
|464|23.3276|2.91253
|465|23.4546|2.93592
|466|23.5819|2.95944
|467|23.7095|2.98308
|468|23.8374|3.00686
|469|23.9656|3.03076
|470|24.0941|3.05479
|471|24.2228|3.07894
|472|24.3519|3.10323
|473|24.4812|3.12765
|474|24.6109|3.15219
|475|24.7408|3.17687
|476|24.871|3.20168
|477|25.0015|3.22661
|478|25.1323|3.25168
|479|25.2633|3.27688
|480|25.3946|3.30221
|481|25.5262|3.32767
|482|25.6581|3.35326
|483|25.7903|3.37898
|484|25.9227|3.40484
|485|26.0555|3.43083
|486|26.1884|3.45695
|487|26.3217|3.48321
|488|26.4552|3.50959
|489|26.589|3.53612
|490|26.7231|3.56277
|491|26.8574|3.58956
|492|26.992|3.61649
|493|27.1269|3.64355
|494|27.262|3.67074
|495|27.3974|3.69807
|496|27.533|3.72554
|497|27.6689|3.75314
|498|27.8051|3.78087
|499|27.9415|3.80875
|500|28.0781|3.83676
|501|28.215|3.8649
|502|28.3522|3.89319
|503|28.4896|3.92161
|504|28.6273|3.95017
|505|28.7652|3.97886
|506|28.9033|4.0077
|507|29.0417|4.03667
|508|29.1804|4.06578
|509|29.3192|4.09503
|510|29.4584|4.12442
|511|29.5977|4.15395
|512|29.7373|4.18361
|513|29.8771|4.21342
|514|30.0172|4.24337
|515|30.1575|4.27346
|516|30.298|4.30368
|517|30.4387|4.33405
|518|30.5797|4.36456
|519|30.7209|4.39521
|520|30.8623|4.426
|521|31.004|4.45694
|522|31.1459|4.48801
|523|31.2879|4.51923
|524|31.4302|4.55059
|525|31.5728|4.58209
|526|31.7155|4.61373
|527|31.8585|4.64552
|528|32.0016|4.67745
|529|32.145|4.70952
|530|32.2886|4.74174
|531|32.4324|4.7741
|532|32.5763|4.8066
|533|32.7205|4.83925
|534|32.8649|4.87205
|535|33.0095|4.90498
|536|33.1543|4.93806
|537|33.2993|4.97129
|538|33.4445|5.00466
|539|33.5899|5.03818
|540|33.7355|5.07184
|541|33.8813|5.10565
|542|34.0272|5.13961
|543|34.1734|5.17371
|544|34.3197|5.20795
|545|34.4662|5.24235
|546|34.6129|5.27689
|547|34.7598|5.31157
|548|34.9069|5.34641
|549|35.0541|5.38139
|550|35.2015|5.41651
|551|35.3491|5.45179
|552|35.4969|5.48721
|553|35.6448|5.52278
|554|35.7929|5.5585
|555|35.9412|5.59437
|556|36.0896|5.63038
|557|36.2382|5.66655
|558|36.387|5.70286
|559|36.5359|5.73932
|560|36.685|5.77593
|561|36.8342|5.81269
|562|36.9836|5.8496
|563|37.1332|5.88666
|564|37.2829|5.92387
|565|37.4327|5.96122
|566|37.5827|5.99873
|567|37.7329|6.03639
|568|37.8832|6.0742
|569|38.0336|6.11216
|570|38.1842|6.15027
|571|38.3349|6.18853
|572|38.4858|6.22694
|573|38.6368|6.2655
|574|38.7879|6.30421
|575|38.9392|6.34307
|576|39.0906|6.38209
|577|39.2421|6.42125
|578|39.3938|6.46057
|579|39.5456|6.50004
|580|39.6975|6.53966
|581|39.8495|6.57944
|582|40.0016|6.61936
|583|40.1539|6.65944
|584|40.3063|6.69967
|585|40.4588|6.74005
|586|40.6114|6.78059
|587|40.7641|6.82128
|588|40.917|6.86212
|589|41.0699|6.90311
|590|41.223|6.94426
|591|41.3761|6.98556
|592|41.5294|7.02701
|593|41.6828|7.06861
|594|41.8362|7.11037
|595|41.9898|7.15229
|596|42.1434|7.19435
|597|42.2972|7.23657
|598|42.451|7.27895
|599|42.6049|7.32148
|600|42.759|7.36416
|601|42.9131|7.40699
|602|43.0672|7.44998
|603|43.2215|7.49313
|604|43.3759|7.53643
|605|43.5303|7.57988
|606|43.6848|7.62349
|607|43.8394|7.66725
|608|43.9941|7.71117
|609|44.1488|7.75524
|610|44.3036|7.79946
|611|44.4585|7.84384
|612|44.6134|7.88838
|613|44.7684|7.93307
|614|44.9235|7.97792
|615|45.0786|8.02292
|616|45.2338|8.06807
|617|45.389|8.11339
|618|45.5443|8.15885
|619|45.6996|8.20447
|620|45.855|8.25025
|621|46.0105|8.29618
|622|46.166|8.34227
|623|46.3215|8.38852
|624|46.4771|8.43492
|625|46.6327|8.48147
|626|46.7884|8.52818
|627|46.9441|8.57505
|628|47.0999|8.62207
|629|47.2556|8.66925
|630|47.4115|8.71658
|631|47.5673|8.76407
|632|47.7232|8.81172
|633|47.8791|8.85952
|634|48.035|8.90747
|635|48.1909|8.95559
|636|48.3469|9.00386
|637|48.5029|9.05228
|638|48.6589|9.10086
|639|48.8149|9.1496
|640|48.971|9.19849
|641|49.127|9.24754
|642|49.2831|9.29675
|643|49.4391|9.34611
|644|49.5952|9.39562
|645|49.7513|9.4453
|646|49.9074|9.49513
|647|50.0635|9.54511
|648|50.2195|9.59525
|649|50.3756|9.64555
|650|50.5317|9.696
|651|50.6878|9.74661
|652|50.8438|9.79738
|653|50.9999|9.8483
|654|51.1559|9.89938
|655|51.3119|9.95061
|656|51.4679|10.002
|657|51.6239|10.0535
|658|51.7799|10.1053
|659|51.9358|10.1571
|660|52.0918|10.2091
|661|52.2477|10.2613
|662|52.4035|10.3136
|663|52.5594|10.3661
|664|52.7152|10.4187
|665|52.871|10.4715
|666|53.0267|10.5245
|667|53.1824|10.5776
|668|53.3381|10.6308
|669|53.4937|10.6843
|670|53.6493|10.7378
|671|53.8048|10.7916
|672|53.9603|10.8454
|673|54.1158|10.8995
|674|54.2712|10.9537
|675|54.4265|11.008
|676|54.5818|11.0625
|677|54.7371|11.1172
|678|54.8922|11.172
|679|55.0474|11.227
|680|55.2024|11.2821
|681|55.3574|11.3374
|682|55.5124|11.3928
|683|55.6672|11.4484
|684|55.822|11.5041
|685|55.9768|11.56
|686|56.1314|11.6161
|687|56.286|11.6723
|688|56.4405|11.7287
|689|56.5949|11.7852
|690|56.7493|11.8419
|691|56.9036|11.8987
|692|57.0578|11.9557
|693|57.2119|12.0128
|694|57.3659|12.0701
|695|57.5198|12.1275
|696|57.6737|12.1851
|697|57.8274|12.2429
|698|57.9811|12.3008
|699|58.1346|12.3588
|700|58.2881|12.4171
|701|58.4414|12.4754
|702|58.5947|12.5339
|703|58.7478|12.5926
|704|58.9009|12.6514
|705|59.0538|12.7104
|706|59.2067|12.7695
|707|59.3594|12.8288
|708|59.512|12.8883
|709|59.6645|12.9478
|710|59.8169|13.0076
|711|59.9692|13.0675
|712|60.1213|13.1275
|713|60.2734|13.1877
|714|60.4253|13.2481
|715|60.577|13.3086
|716|60.7287|13.3692
|717|60.8802|13.43
|718|61.0316|13.491
|719|61.1829|13.5521
|720|61.334|13.6134
|721|61.485|13.6748
|722|61.6359|13.7363
|723|61.7866|13.798
|724|61.9372|13.8599
|725|62.0876|13.9219
|726|62.2379|13.9841
|727|62.3881|14.0464
|728|62.5381|14.1088
|729|62.6879|14.1715
|730|62.8376|14.2342
|731|62.9872|14.2971
|732|63.1366|14.3602
|733|63.2858|14.4234
|734|63.4349|14.4868
|735|63.5838|14.5503
|736|63.7326|14.6139
|737|63.8812|14.6777
|738|64.0296|14.7417
|739|64.1779|14.8058
|740|64.326|14.8701
|741|64.4739|14.9345
|742|64.6217|14.999
|743|64.7693|15.0637
|744|64.9167|15.1285
|745|65.064|15.1935
|746|65.211|15.2587
|747|65.3579|15.324
|748|65.5046|15.3894
|749|65.6511|15.455
|750|65.7974|15.5207
|751|65.9436|15.5866
|752|66.0896|15.6526
|753|66.2353|15.7187
|754|66.3809|15.785
|755|66.5263|15.8515
|756|66.6715|15.9181
|757|66.8165|15.9848
|758|66.9613|16.0517
|759|67.1059|16.1188
|760|67.2503|16.1859
|761|67.3945|16.2533
|762|67.5385|16.3207
|763|67.6823|16.3883
|764|67.8258|16.4561
|765|67.9692|16.524
|766|68.1124|16.592
|767|68.2553|16.6602
|768|68.3981|16.7285
|769|68.5406|16.797
|770|68.6829|16.8656
|771|68.825|16.9344
|772|68.9668|17.0033
|773|69.1085|17.0723
|774|69.2499|17.1415
|775|69.3911|17.2108
|776|69.5321|17.2803
|777|69.6728|17.3499
|778|69.8133|17.4196
|779|69.9536|17.4895
|780|70.0937|17.5595
|781|70.2335|17.6297
|782|70.3731|17.7
|783|70.5125|17.7704
|784|70.6516|17.841
|785|70.7905|17.9117
|786|70.9291|17.9826
|787|71.0675|18.0536
|788|71.2056|18.1247
|789|71.3435|18.196
|790|71.4812|18.2674
|791|71.6186|18.339
|792|71.7558|18.4107
|793|71.8927|18.4825
|794|72.0294|18.5544
|795|72.1658|18.6265
|796|72.3019|18.6988
|797|72.4378|18.7711
|798|72.5734|18.8436
|799|72.7088|18.9163
|800|72.8439|18.9891
|801|72.9788|19.062
|802|73.1134|19.135
|803|73.2477|19.2082
|804|73.3818|19.2815
|805|73.5156|19.355
|806|73.6491|19.4286
|807|73.7824|19.5023
|808|73.9154|19.5761
|809|74.0481|19.6501
|810|74.1805|19.7242
|811|74.3127|19.7985
|812|74.4446|19.8728
|813|74.5762|19.9473
|814|74.7075|20.022
|815|74.8386|20.0968
|816|74.9693|20.1717
|817|75.0998|20.2467
|818|75.23|20.3219
|819|75.3599|20.3972
|820|75.4896|20.4726
|821|75.6189|20.5481
|822|75.748|20.6238
|823|75.8767|20.6996
|824|76.0052|20.7756
|825|76.1334|20.8516
|826|76.2613|20.9278
|827|76.3889|21.0042
|828|76.5162|21.0806
|829|76.6432|21.1572
|830|76.7699|21.2339
|831|76.8963|21.3107
|832|77.0224|21.3877
|833|77.1482|21.4648
|834|77.2737|21.542
|835|77.3988|21.6193
|836|77.5237|21.6968
|837|77.6483|21.7744
|838|77.7726|21.8521
|839|77.8965|21.9299
|840|78.0202|22.0079
|841|78.1435|22.086
|842|78.2665|22.1642
|843|78.3893|22.2425
|844|78.5117|22.3209
|845|78.6337|22.3995
|846|78.7555|22.4782
|847|78.877|22.557
|848|78.9981|22.636
|849|79.1189|22.715
|850|79.2394|22.7942
|851|79.3595|22.8735
|852|79.4794|22.9529
|853|79.5989|23.0325
|854|79.7181|23.1121
|855|79.837|23.1919
|856|79.9555|23.2718
|857|80.0737|23.3518
|858|80.1916|23.4319
|859|80.3092|23.5122
|860|80.4264|23.5926
|861|80.5433|23.673
|862|80.6599|23.7537
|863|80.7761|23.8344
|864|80.892|23.9152
|865|81.0076|23.9962
|866|81.1228|24.0772
|867|81.2377|24.1584
|868|81.3522|24.2397
|869|81.4664|24.3211
|870|81.5803|24.4026
|871|81.6938|24.4843
|872|81.807|24.566
|873|81.9199|24.6479
|874|82.0324|24.7299
|875|82.1445|24.8119
|876|82.2564|24.8941
|877|82.3678|24.9765
|878|82.4789|25.0589
|879|82.5897|25.1414
|880|82.7002|25.2241
|881|82.8102|25.3068
|882|82.92|25.3897
|883|83.0293|25.4727
|884|83.1384|25.5557
|885|83.2471|25.6389
|886|83.3554|25.7222
